date,variation
29/12/2022,-0.80
28/12/2022,1.81
27/12/2022,-0.24
26/12/2022,-0.80
23/12/2022,1.99
22/12/2022,0.06
21/12/2022,0.31
20/12/2022,2.15
19/12/2022,1.98
16/12/2022,-1.09
15/12/2022,-0.20
14/12/2022,0.40
13/12/2022,-1.47
12/12/2022,-2.02
09/12/2022,0.32
08/12/2022,-1.91
07/12/2022,-1.08
06/12/2022,1.05
05/12/2022,-2.15
02/12/2022,0.83
01/12/2022,-1.40
30/11/2022,1.20
29/11/2022,2.04
28/11/2022,0.08
25/11/2022,-2.89
24/11/2022,2.81
23/11/2022,0.16
22/11/2022,-0.95
21/11/2022,1.17
18/11/2022,-0.79
17/11/2022,-0.33
16/11/2022,-2.93
14/11/2022,0.64
11/11/2022,2.31
10/11/2022,-3.33
09/11/2022,-2.27
08/11/2022,0.97
07/11/2022,-2.44
04/11/2022,0.80
03/11/2022,0.26
01/11/2022,0.59
31/10/2022,-0.75
28/10/2022,2.73
27/10/2022,1.12
26/10/2022,-1.54
25/10/2022,-1.48
24/10/2022,-3.68
21/10/2022,3.13
20/10/2022,0.49
19/10/2022,0.37
18/10/2022,1.86
17/10/2022,1.55
14/10/2022,-1.85
13/10/2022,-0.57
11/10/2022,-1.06
10/10/2022,-0.62
07/10/2022,-0.61
06/10/2022,0.13
05/10/2022,0.86
04/10/2022,-0.04
03/10/2022,5.58
30/09/2022,2.56
29/09/2022,-0.97
28/09/2022,0.13
27/09/2022,-0.43
26/09/2022,-2.51
23/09/2022,-2.08
22/09/2022,1.82
21/09/2022,-0.63
20/09/2022,0.58
19/09/2022,2.48
16/09/2022,-0.48
15/09/2022,-0.60
14/09/2022,-0.21
13/09/2022,-2.35
12/09/2022,1.06
09/09/2022,2.09
08/09/2022,0.22
06/09/2022,-2.31
05/09/2022,1.27
02/09/2022,0.47
01/09/2022,0.72
31/08/2022,-0.54
30/08/2022,-1.85
29/08/2022,0.04
26/08/2022,-1.13
25/08/2022,0.38
24/08/2022,0.07
23/08/2022,2.22
22/08/2022,-0.74
19/08/2022,-2.19
18/08/2022,-0.05
17/08/2022,0.21
16/08/2022,0.72
15/08/2022,0.30
12/08/2022,2.61
11/08/2022,-0.64
10/08/2022,1.44
09/08/2022,0.24
08/08/2022,2.01
05/08/2022,0.25
04/08/2022,2.28
03/08/2022,0.67
02/08/2022,0.98
01/08/2022,-0.75
29/07/2022,0.20
28/07/2022,1.30
27/07/2022,1.75
26/07/2022,-0.62
25/07/2022,1.39
22/07/2022,0.07
21/07/2022,0.42
20/07/2022,0.26
19/07/2022,1.42
18/07/2022,0.11
15/07/2022,0.78
14/07/2022,-2.07
13/07/2022,-0.41
12/07/2022,0.11
11/07/2022,-2.15
08/07/2022,-0.51
07/07/2022,2.05
06/07/2022,0.65
05/07/2022,-0.42
04/07/2022,-0.45
01/07/2022,0.66
30/06/2022,-1.04
29/06/2022,-1.08
28/06/2022,-0.31
27/06/2022,1.97
24/06/2022,0.86
23/06/2022,-1.43
22/06/2022,-0.38
21/06/2022,0.11
20/06/2022,0.08
17/06/2022,-3.19
15/06/2022,1.04
14/06/2022,-0.77
13/06/2022,-2.65
10/06/2022,-1.79
09/06/2022,-0.88
08/06/2022,-1.46
07/06/2022,-0.25
06/06/2022,-0.99
03/06/2022,-0.88
02/06/2022,0.89
01/06/2022,0.27
31/05/2022,0.24
30/05/2022,-0.91
27/05/2022,-0.11
26/05/2022,1.28
25/05/2022,0.02
24/05/2022,-0.11
23/05/2022,2.01
20/05/2022,1.53
19/05/2022,0.85
18/05/2022,-2.56
17/05/2022,0.48
16/05/2022,1.07
13/05/2022,1.23
12/05/2022,1.39
11/05/2022,1.41
10/05/2022,-0.44
09/05/2022,-1.53
06/05/2022,-0.27
05/05/2022,-2.76
04/05/2022,1.62
03/05/2022,0.00
02/05/2022,-0.66
29/04/2022,-2.32
28/04/2022,0.32
27/04/2022,1.19
26/04/2022,-2.32
25/04/2022,0.01
22/04/2022,-3.00
20/04/2022,-0.78
19/04/2022,-0.48
18/04/2022,-0.17
14/04/2022,-0.77
13/04/2022,0.67
12/04/2022,-0.71
11/04/2022,-1.24
08/04/2022,-0.58
07/04/2022,0.68
06/04/2022,-0.56
05/04/2022,-1.96
04/04/2022,-0.34
01/04/2022,1.38
31/03/2022,-0.26
30/03/2022,0.13
29/03/2022,1.08
28/03/2022,-0.21
25/03/2022,0.01
24/03/2022,1.63
23/03/2022,-0.18
22/03/2022,1.04
21/03/2022,1.09
18/03/2022,1.87
17/03/2022,1.46
16/03/2022,2.14
15/03/2022,-1.08
14/03/2022,-1.54
11/03/2022,-1.55
10/03/2022,-0.35
09/03/2022,2.32
08/03/2022,0.17
07/03/2022,-2.98
04/03/2022,-0.56
03/03/2022,-0.07
02/03/2022,2.02
25/02/2022,1.32
24/02/2022,-0.09
23/02/2022,-1.30
22/02/2022,1.44
21/02/2022,-0.98
18/02/2022,-0.54
17/02/2022,-1.51
16/02/2022,0.15
15/02/2022,0.99
14/02/2022,0.19
11/02/2022,0.19
10/02/2022,0.80
09/02/2022,0.00
08/02/2022,0.47
07/02/2022,-0.28
04/02/2022,0.23
03/02/2022,0.07
02/02/2022,-1.34
01/02/2022,1.08
31/01/2022,0.37
28/01/2022,-0.57
27/01/2022,0.75
26/01/2022,1.00
25/01/2022,2.16
24/01/2022,-0.59
21/01/2022,-0.19
20/01/2022,0.82
19/01/2022,1.17
18/01/2022,0.26
17/01/2022,-0.48
14/01/2022,1.50
13/01/2022,-0.35
12/01/2022,1.81
11/01/2022,1.70
10/01/2022,-0.27
07/01/2022,0.87
06/01/2022,0.77
05/01/2022,-2.48
04/01/2022,-0.36
03/01/2022,-0.86
30/12/2021,0.55
29/12/2021,-0.80
28/12/2021,-0.53
27/12/2021,0.74
23/12/2021,-0.57
22/12/2021,0.01
21/12/2021,0.42
20/12/2021,-2.04
17/12/2021,-1.25
16/12/2021,1.17
15/12/2021,0.49
14/12/2021,-0.77
13/12/2021,-0.22
10/12/2021,1.56
09/12/2021,-1.98
08/12/2021,0.55
07/12/2021,0.61
06/12/2021,1.66
03/12/2021,0.89
02/12/2021,3.44
01/12/2021,-1.28
30/11/2021,-0.67
29/11/2021,0.63
26/11/2021,-3.53
25/11/2021,1.32
24/11/2021,0.66
23/11/2021,1.79
22/11/2021,-1.04
19/11/2021,0.63
18/11/2021,-0.60
17/11/2021,-1.11
16/11/2021,-1.73
12/11/2021,-1.37
11/11/2021,1.50
10/11/2021,0.62
09/11/2021,0.56
08/11/2021,0.02
05/11/2021,1.16
04/11/2021,-2.30
03/11/2021,0.47
